id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40758563,Classical apartment in a great area,13320577,Herman Wenner,,Frogner,59.92882,10.71569,Entire home/apt,1500,7,4,2021-09-01,0.31,1,60,3,
40767204,Fantastisk flott leilighet i Gamle Oslo,44089366,Oda Marie,,Gamle Oslo,59.90906,10.77609,Entire home/apt,600,2,7,2020-09-30,0.33,1,0,1,
40784572,Tjuvholmen Great Sea View. With Balcony.,267825316,Sigurd,,Frogner,59.90792,10.72439,Entire home/apt,1300,2,3,2020-01-01,0.82,4,77,1,
40841693,Central Top-Floor Flat with Rooftop Terrace,23643310,Josephine,,Frogner,59.92054,10.73248,Private room,700,30,10,2020-01-19,0.48,2,0,1,
40860489,Beautiful appartement in the centre of Oslo,66434667,Liv Kathrine,,Gamle Oslo,59.91082,10.77703,Entire home/apt,700,2,4,2021-09-12,0.27,2,0,2,
40866458,Rent a room in a green and quiet area,317504305,Madeleine,,Alna,59.92324,10.86936,Private room,300,1,9,2020-03-09,0.42,1,0,0,
40892232,Beautiful and spacious apt for 5 @ Grünerløkka,16611933,Tony,,Grünerløkka,59.92477,10.75766,Entire home/apt,1000,7,3,2020-12-25,0.20,1,0,2,
40904084,Spacious room in a cosy apartment,2026217,Ginta,,Sagene,59.94172,10.76056,Private room,436,2,10,2020-02-16,0.49,2,12,1,
40937387,Central & cosy apartment ❤️,83695175,Elisa,,Grünerløkka,59.92193,10.76665,Entire home/apt,886,1,5,2020-08-23,5,1,19,1,
40956539,Budget rooms #5 - Parking / Easy public transport!,317511603,Klaus,,Bjerke,59.93465,10.82007,Private room,390,1,0,,,4,0,0,
40983852,Budget rooms - Close to subway stop!,317511603,Klaus,,Bjerke,59.9329,10.81895,Private room,390,1,0,,,4,0,0,
41008072,"Relaxing, retro/modern-style, central, 100m2",38539812,Haakon Thu,,St. Hanshaugen,59.92577,10.74559,Entire home/apt,1220,5,18,2020-10-06,0.88,1,34,3,
41040521,"Sentral, rolig leilighet nær Kiellandsplass",24233005,Emilie,,St. Hanshaugen,59.92689,10.74924,Private room,400,1,2,2020-12-18,0.15,1,0,1,
41057648,Torshov,23125366,Maximiliano,,Grünerløkka,59.93226,10.76301,Private room,780,2,0,,,1,179,0,
41059687,Budget rooms #4 - Easy free parking!,317511603,Klaus,,Bjerke,59.93264,10.81905,Private room,350,1,1,2020-01-14,0.05,4,0,0,
41094949,Ammerud,321424477,Fredrik,,Grorud,59.9593,10.87299,Entire home/apt,499,3,4,2021-09-20,4,1,11,2,
41107578,Budget rooms #3-parking and easy public transport!,317511603,Klaus,,Bjerke,59.93407,10.82066,Private room,390,1,0,,,4,0,0,
41111548,leier ut Koselig liten 2- roms leilighet sentralt,321646495,Daniela,,Bjerke,59.94324,10.83662,Entire home/apt,800,3,1,2021-07-19,0.41,1,263,1,
41173162,Unique rooftop apartment at Bislett,25360035,Torkjel,,St. Hanshaugen,59.92651,10.73241,Entire home/apt,1386,2,9,2020-09-25,1.00,1,55,5,
41203328,1 room in shared apartment.,323280536,Faixan,,Søndre Nordstrand,59.84773,10.82691,Private room,200,1,1,2020-10-30,0.09,1,0,1,
41205807,Frogner room,1158876,Janaina,,Frogner,59.91932,10.69001,Private room,250,14,19,2021-05-15,1.39,3,0,8,
41211647,"2-bedroom apartment, fully renovated 2019",15331470,Julie Marie,,Grünerløkka,59.92082,10.75939,Entire home/apt,1886,3,5,2020-08-19,0.35,1,356,3,
41233301,Ny renovert sentral leilighet på Grünerløkka i Osl,154796159,Stian,,Grünerløkka,59.92111,10.76861,Entire home/apt,1000,2,1,2020-06-01,0.06,1,0,0,
41233962,Big room in charming Grünerløkka,95019084,Daniel,,Grünerløkka,59.92592,10.75817,Private room,734,5,4,2021-09-15,4,1,0,3,
41246166,Central Penthouse w/Amazing Rooftop,85367062,Vegard,,Gamle Oslo,59.9095,10.75763,Entire home/apt,926,1,77,2021-05-22,3.81,1,1,32,
41249302,Big sofa bed in i shared modern apartment!,61289268,Asbjørn,,Gamle Oslo,59.91753,10.78732,Shared room,421,1,4,2020-08-14,0.20,2,33,0,
41291138,3-room apartment central in Oslo!,113860793,Kristin,,Gamle Oslo,59.90622,10.79763,Entire home/apt,690,5,10,2020-01-25,0.48,1,9,1,
41303201,Beautiful pearl in the center - service apartment,199157025,Beata Eva,,Gamle Oslo,59.91837,10.76481,Entire home/apt,990,2,21,2020-03-11,1.08,1,0,1,
41308622,Penthouse in City Center w/AMAZING views,105902252,Ruslan,,St. Hanshaugen,59.91638,10.75279,Entire home/apt,2179,1,18,2021-02-24,0.91,1,88,9,
41344003,Ullern hjem med katt og utsikt,251131135,Tore,,Ullern,59.92449,10.64079,Entire home/apt,1000,4,2,2021-04-18,0.31,1,54,2,
41372553,Veldig bra egnet for 3 par på Oslotur,126397213,Rune,,Ullern,59.93334,10.65644,Entire home/apt,5000,2,2,2021-08-01,0.67,1,353,2,
41372611,"Familievennlig, fin, 3 soverom, marka utenfor døra",9259898,Maren,,Bjerke,59.94568,10.82604,Entire home/apt,899,5,2,2021-08-07,0.79,1,6,2,
41376647,Cozy Apartment & Stunning Views in Old Town Oslo,67089691,Indre,,Gamle Oslo,59.90881,10.77812,Entire home/apt,680,2,2,2021-09-13,2,1,149,2,
41391708,Beautiful apartment Oslo West/Frognerparken,325538371,Linda,,Vestre Aker,59.9376,10.69391,Entire home/apt,806,1,65,2020-08-08,3.22,1,135,35,
41395074,Barcode apartment,5333121,Dina & Henning,,Gamle Oslo,59.90872,10.76291,Entire home/apt,2000,1,1,2021-02-14,0.13,1,3,1,
41399242,Beautiful & charming apartment FagerborgMajorstuen,325608749,Silje-Marie,,St. Hanshaugen,59.93106,10.72619,Entire home/apt,1150,2,5,2021-08-29,5,1,31,5,
41403018,Modern cozy apartment in a quiet neighborhood.,24230848,Bjørn Aage,,Ullern,59.93364,10.63979,Entire home/apt,959,2,0,,,1,0,0,
41466856,Cozy and spacious apartment in Torshov,43548813,Gratiela,,Sagene,59.9404,10.77235,Entire home/apt,800,4,2,2020-08-16,0.14,1,0,0,
41491209,"Solrik, skjermet leilighet på øvre Grünerløkka",92471152,Katja,,Grünerløkka,59.92937,10.76702,Entire home/apt,900,3,7,2021-08-22,3.23,1,80,6,
41499959,Spacious 110 sq.m. apartment near The Royal Palace,18035310,John Ingvar,,Frogner,59.92332,10.72967,Entire home/apt,1723,2,27,2021-07-13,1.43,2,294,15,
41500153,Nice 2 Bedroom Apartment on Nordstrand by the Sea.,73331486,Alexander,,Nordstrand,59.84496,10.77604,Entire home/apt,450,4,9,2021-07-27,1.47,2,117,6,
41502067,"SLEMDAL: Fully equipped apartment, central & quiet",73823905,Morten,,Vestre Aker,59.95044,10.68604,Entire home/apt,450,2,2,2020-01-19,0.10,1,269,0,
41521463,Familiehus,307879599,Sven,,Stovner,59.95173,10.9369,Entire home/apt,2000,2,2,2020-02-17,0.10,1,85,0,
41531494,Beautiful family apartment in the heart of Oslo,50576774,Knut,,Gamle Oslo,59.91308,10.77501,Entire home/apt,2000,2,2,2020-07-19,0.10,1,87,0,
41582494,"Clean, modern, apartment - supreme location!",30980182,Maria,,Frogner,59.917,10.70318,Entire home/apt,1500,14,2,2020-08-07,0.14,1,148,0,
41583412,Big beautiful house near by the center of Oslo,270962426,Trine,,Nordstrand,59.87656,10.78103,Entire home/apt,2000,2,10,2020-11-27,0.70,1,90,2,
41605730,Charming cosy apartment,2026217,Ginta,,Sagene,59.94262,10.75953,Entire home/apt,610,2,4,2021-08-08,0.21,2,12,2,
41676975,"Cozy apartment near Aker Brygge, central Oslo",78366753,Dima,,Frogner,59.91386,10.7222,Entire home/apt,779,2,30,2021-08-15,1.49,1,0,16,
41677581,Frogner double room,1158876,Janaina,,Frogner,59.92097,10.69098,Private room,353,5,2,2020-01-31,0.10,3,0,0,
41696290,Leilighet Frogner,261598649,Terje Rødne,,Frogner,59.92488,10.71327,Entire home/apt,707,3,8,2020-09-13,0.41,1,0,0,
41746523,Exclusive waterfront at popular Sørenga!,267825316,Sigurd,,Gamle Oslo,59.90441,10.75637,Entire home/apt,2990,2,0,,,4,61,0,
41746555,Sentral og koselig leilighet,49735288,Siv,,Grünerløkka,59.92952,10.77869,Entire home/apt,600,2,1,2020-08-16,0.07,1,0,0,
41774050,Cozy home in the heart of Oslo,330020106,Øystein,,Frogner,59.91297,10.70867,Entire home/apt,1200,7,1,2020-05-12,0.06,1,323,0,
41789076,"Cozy bedroom, best location ever in Grünerløkka",79479650,Marta-Maria,,Grünerløkka,59.927,10.76077,Private room,490,3,4,2021-09-01,1.35,1,58,4,
41795956,"55sqm cosy flat, quiet area, close to Grünerløkka",71773622,Jørund,,Sagene,59.93306,10.77492,Entire home/apt,1200,3,6,2021-07-10,0.31,1,82,3,
41805098,New apartement with central location.,17192266,Sanja,,Bjerke,59.93599,10.7999,Entire home/apt,900,7,1,2020-07-19,0.07,1,1,0,
41844424,Apartment in central Oslo,122036790,Teuta,,Sagene,59.93194,10.76709,Entire home/apt,680,7,7,2020-07-12,0.37,1,0,1,
41866788,Cool  and central 3 r.apt. in calm area w. balcony,3983966,Magnus,,Grünerløkka,59.92378,10.78222,Entire home/apt,1071,3,0,,,1,4,0,
41908425,Central modern apartment close to Oslo S,101409653,Marte,,Gamle Oslo,59.9038,10.77641,Entire home/apt,950,2,2,2020-02-23,0.49,1,142,1,
41954964,Cozy quiet apartment,98570399,Anja Ibeth,,Nordstrand,59.87146,10.8091,Entire home/apt,890,3,32,2021-09-23,1.66,1,59,14,
41973031,Modern apt with garden in lovely Ullevål Hageby,222372283,Kathinka,,Nordre Aker,59.94369,10.72782,Entire home/apt,2600,3,2,2021-08-01,0.83,1,176,2,
41991364,"Uniquely located, spacious apartment in Oslo",332565567,Nina,,Vestre Aker,59.9586,10.70603,Entire home/apt,2500,3,4,2020-12-07,0.28,1,0,1,
42010618,"Great newly refurnished, Central",17067566,Andreas,,St. Hanshaugen,59.9269,10.74726,Entire home/apt,1800,3,0,,,2,178,0,
42020226,Welcome to our central and nice place! 110 m2.,273191170,Linn Beate,,St. Hanshaugen,59.92442,10.73781,Entire home/apt,2400,3,0,,,2,28,0,
42028412,Charming apartment with fantastic location,196735463,Frida,,Grünerløkka,59.91626,10.77036,Entire home/apt,800,2,2,2020-08-07,0.10,1,0,0,
42029652,Lekker leilighet på Aker Brygge,46579326,Christiane Vegan,,Frogner,59.90991,10.72441,Entire home/apt,4500,2,0,,,1,173,0,
42030996,Central apartment – with great views!,6488722,Julie,,St. Hanshaugen,59.93052,10.74848,Entire home/apt,1000,3,0,,,1,55,0,
42031258,Cozy apartment with a view next to city center,141800430,Amund,,Gamle Oslo,59.9006,10.78759,Entire home/apt,847,2,14,2020-09-13,0.83,1,0,2,
